"België";"Belgium";"BE"
"България";"Bulgaria";"BG"
"Česká republika";"Czech Republic";"CZ"
"Danmark";"Denmark";"DK"
"Deutschland";"Germany";"DE"
"Eesti";"Estonia";"EE"
"Ireland";"Ireland";"IE"
"Ελλάδα ";"Greece";"EL"
"España";"Spain";"ES"
"France";"France";"FR"
"Hrvatska";"Croatia";"HR"
"Italia";"Italy";"IT"
"Κύπρος";"Cyprus";"CY"
"Latvija";"Latvia";"LV"
"Lietuva";"Lithuania";"LT"
"Luxembourg";"Luxembourg";"LU"
"Magyarország";"Hungary";"HU"
"Malta";"Malta";"MT"
"Nederland";"Netherlands";"NL"
"Österreich";"Austria";"AT"
"Polska";"Poland";"PL"
"Portugal";"Portugal";"PT"
"România";"Romania";"RO"
"Slovenija";"Slovenia";"SI"
"Slovensko";"Slovakia";"SK"
"Finland";"Finland";"FI"
"Sverige";"Sweden";"SE"
"United Kingdom";"United Kingdom";"UK"
